Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	fix	easier	series	re	wasn	service	needed	person	tech	came	best	asked	much	life	things	had	easy	possible	right	old	people	support	happy	inside	later	time	team	love	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	note	take	drive	ways	going	where	many	photos	former	technology	being	around	world	power	favorite	side	her	am	having	tv	th	large	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	try	major	number	self	also	play	microsoft	set	see	project	available	last	let	whole	blog	recent	amp	readers	parents	couple	d	continue	anything	into	link	line	us	ago	results	video	great	makes	tools	next	process	high	move	perfect	doing	books	could	start	system	lot	device	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	five	become	does	problem	chance	worked	worth	told	search	work	interview	after	law	order	office	then	them	network	another	do	away	launched	hand	photo	thanks	night	post	months	way	update	together	change	live	car	write	product	use	remember	still	non	half	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	real	read	early	using	business	your	trying	since	month	very	learned	family	put	takes	site	history	help	soon	actually	event	reason	ask	mobile	clear	latest	pretty	during	x	close	won	probably	both	along	else	look	while	ready	used	user	march	game	popular	some	run	step	within	doesn	go	facebook	click	products	started	point	links	including	keep	art	long	data	exactly	need	based	she	well	page	twitter	home	noticed	he	display	friends	companies	likely	even	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	content	isn	matter	don	m	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	dead	super	down	finally	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	little	anyone	were	potential	show	behind	black	get	morning	enough	reading	across	those	sound	different	pay	same	running	money	either	videos	youtube	again	important	u	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	itself	spend	big	bit	google	often	back	single	entire	others	control	stories	ll	day	announced	text	taking	value	almost	com	thought	add	happens	buy	minutes	special	starting	under	every	path	changes	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	games	quickly	pick	able	everything	head	hear	check	no	cool	level	posts	says	goes	water	today	name	turn	place	white	any	ideas	sure	state	college	come	case	myself	someone	events	week	without	seems	there	far	list	design	version	known	short	might	friday	feel	story	kind	nothing	his	him	wrote	recently	became	reasons	questions	customers	question	called	say	nice	users	once	apple	heart	app	few	something	six	instead	related	our	york	their	which	who	why	thousands	words	view	april	will	gets	other	know	because	lead	getting	own	apps	made	whether	book
Schneier on Security	0	0	1	0	0	0	0	0	0	0	0	4	3	2	0	3	0	0	2	0	1	0	0	0	0	1	0	4	3	0	1	0	2	1	0	1	0	4	0	0	0	0	6	2	1	0	6	0	0	1	0	0	0	1	0	0	1	1	4	1	0	2	1	2	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	5	0	1	2	0	0	0	0	6	0	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	5	1	0	0	0	2	2	1	6	1	0	0	0	0	2	0	5	2	6	0	2	3	1	2	0	0	3	0	2	1	0	2	1	2	0	1	1	1	0	1	2	0	3	6	1	0	1	3	3	3	0	0	0	0	0	0	0	4	1	2	0	0	1	1	0	0	0	4	0	1	0	0	4	1	0	0	0	4	0	0	0	2	2	2	0	6	0	1	0	0	6	0	5	0	3	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	2	0	0	3	0	5	0	0	0	0	2	1	0	0	1	0	0	0	2	0	3	0	2	1	0	2	1	1	2	3	0	2	0	0	0	0	3	0	0	0	1	7	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	2	0	3	0	0	1	0	1	0	0	0	0	2	1	1	0	2	0	0	2	0	2	0	2	0	0	0	8	0	1	0	2	1	0	2	1	4	1	0	2	0	1	0	1	0	0	0	0	1	1	0	2	1	0	0	5	1	0	0	0	1	1	2	4	0	2	0	6	0	1	1	0	0	0	1	0	0	2	0	0	0	0	3	0	1	0	0	1	0	2	0	0	1	3	0	0	0	0	1	2	0	3	1	2	1	1	1	0	2	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	4	0	1	0	3	0	0	0	1	5	0	0	0	1	0	0	1	1	0	3	0	0	0	1	0	0	0	4	0	1	0	0	0	2	5	0	1	0	0	0	0	2	2	0	2	0	0	1	1	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	2	0	0	0	8	6	2	1	0	1	0	0	2	1	2	2	5	0	1	1	0	1	2	0
PaulStamatiou.com - Technology, Design and Photography	2	23	24	72	1	14	15	42	58	131	35	5	8	24	6	120	22	22	29	16	13	15	50	15	150	27	69	128	34	16	78	29	92	25	14	22	38	176	35	34	65	2	39	28	35	47	7	3	29	33	5	17	18	75	8	12	58	100	70	134	1	4	50	86	19	18	6	16	3	20	57	12	2	35	41	18	22	23	50	9	23	21	17	9	33	42	35	50	30	2	14	4	121	21	0	70	101	7	10	57	47	10	92	14	53	3	4	0	80	5	29	135	19	29	28	17	16	125	47	28	20	56	58	34	13	16	27	6	82	47	23	36	55	4	6	59	4	23	22	83	81	99	33	25	45	2	12	36	14	6	18	7	5	62	77	2	94	3	2	24	127	148	12	50	181	34	6	5	150	13	10	155	21	76	20	14	32	18	5	23	38	214	11	54	10	17	153	32	12	5	8	85	41	8	0	186	34	25	25	79	101	29	86	18	84	5	399	28	58	27	56	14	16	25	20	101	9	35	12	45	8	14	13	109	11	9	28	24	99	21	27	28	35	26	8	55	100	13	61	117	1	6	17	184	38	26	9	36	64	15	24	12	48	52	12	25	43	5	36	53	21	102	28	0	60	88	98	40	5	20	63	26	4	17	85	22	35	14	23	15	9	6	59	9	82	12	13	79	9	10	119	133	7	18	2	5	15	37	266	78	25	1	15	34	12	7	0	11	58	8	40	15	46	2	10	15	0	26	61	52	149	28	7	59	4	33	11	13	186	6	36	23	11	56	6	49	8	62	32	10	21	26	5	27	18	1	8	53	33	13	15	64	71	19	3	38	28	44	15	65	37	85	12	59	11	28	46	16	16	31	66	75	38	81	17	18	17	38	7	117	55	6	33	19	15	14	55	30	33	12	13	19	3	17	9	55	8	13	163	29	23	202	560	32	65	60	19	69	35	11	47	19	22	39	82	20	43	11	45	3	18	0	32	7	35	51	18	9	11	104	6	24	38	6	18	6	11	28	20	25	4	103	13	43	14	2	44	27	28	18	12	39	39	18	188	22	23	152	44	4	8	31	0	27	15	23	11	19	4	9	16	14	8	12	5	4	29	24	21	67	15	23	3	98	123	70	2	42	10	107	4	118	75	18	57	1	3	17	2	155	13	106	62	29	4	48	67	38	45	7	9
Search Engine Roundtable	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	2	0	0	0	0	1	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	1	2	0	0	1	0	0	1	0	0
Copyblogger	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	1	2	0	0	2	0	2	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	4	1	4	0	1	0	1	0	0	0	0	10	0	1	0	0	2	0	0	4	0	2	0	0	0	0	2	1	0	0	0	2	0	4	0	1	0	1	0	0	1	0	12	1	0	3	5	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	1	0	10	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	11	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	1	0	0	0	0	0	0	4	2	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	2	5	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	3	0	1	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	5	0	1	0	0	2	0	0	1	1	0	1	1	0	0	0	1
Joi Ito's Web	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	2	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	2	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	3	0	1	1	1	1	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	1	0	1	1	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	6	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	1	1	0	3	0	1	2	0	0	0	0	0	0	0	1	1	3	0	1	3	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	6
Engadget RSS Feed	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	2	1	8	1	0	2	0	0	0	3	0	1	0	0	0	1	0	2	1	0	0	0	5	1	0	0	0	1	1	0	0	4	0	1	1	0	0	0	2	3	0	0	0	0	2	2	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0	2	0	0	12	1	1	0	2	2	1	0	0	1	2	2	0	2	0	1	1	1	1	1	3	1	2	1	0	0	0	2	0	1	2	0	0	3	0	0	0	1	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	2	2	4	1	0	3	0	0	1	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	1	1	4	0	0	0	0	1	1	0	1	0	0	3	2	0	2	1	1	1	1	3	5	3	0	0	0	2	2	2	0	0	1	0	1	0	0	1	0	0	0	4	12	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	6	0	1	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	4	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	3	0	0	0	1	1	4	0	0	0	5	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	3	0	1	2	1	2	0	0	1	0	0	0	0	1	0	1	0	2	0	0	2	0	1	0	0	0	2	1	0	0	0	0	1	1	0	1	1	4	0	0	0	0	0	0	0	1	8	0	2	1	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	2	1	0	1	0	0	0	0	1	0	2	0	1	0	0	5	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	2	2	0	0	1	3	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	1	0	1	0	2	0	2	0	0	0	0	2	1	1	1	1	0	0	2	2	2	0	0	0
TMZ.com	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	2	0	0	2	3	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	2	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	5	0	1	0	1	2	0	0	2	3	1	0	0	0	4	0	1	1	0	0	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	2	0	0	1	0	14	0	1	0	0	1	0	0	0	2	0	0	0	2	1	1	0	2	0	0	2	1	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	1	0	0	3	0	3	0	0	2	0	1	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	5	0	2	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	15	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	3	1	3	0	1	0	0	0	0	0
A Consuming Experience (full feed)	0	0	0	16	0	0	0	1	2	9	0	2	6	0	0	13	1	0	2	0	1	2	4	1	1	0	2	12	1	5	10	6	9	2	0	5	4	13	0	1	7	0	0	2	0	5	3	0	0	29	0	0	4	3	1	2	2	8	3	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	1	4	3	0	0	2	0	0	0	6	6	11	3	18	0	4	0	10	0	3	6	20	1	1	0	2	0	1	0	2	0	0	1	7	3	6	0	0	2	0	0	0	1	0	0	5	8	2	0	3	0	1	0	8	10	1	3	0	0	0	13	2	0	1	0	19	0	3	1	1	0	0	1	10	0	9	3	0	6	15	0	13	0	1	0	34	8	3	2	16	0	0	0	0	1	0	9	0	15	4	0	2	0	0	0	0	18	1	4	0	0	14	0	4	0	1	5	20	2	0	19	1	0	0	0	0	1	2	0	17	0	54	7	2	0	2	0	0	0	3	3	0	2	2	0	0	2	0	0	3	0	1	0	4	8	2	2	11	0	3	5	1	0	2	2	0	0	0	14	4	2	3	7	14	0	18	1	2	1	0	0	8	0	3	1	2	8	3	0	5	2	0	0	1	0	4	0	0	1	13	0	1	0	0	1	0	0	12	2	3	0	0	0	3	0	19	1	1	0	2	0	0	1	54	18	10	0	5	3	7	1	0	0	8	1	2	0	15	0	0	0	29	0	2	1	10	0	0	3	0	2	0	0	17	0	2	0	3	4	0	2	0	17	6	0	1	0	0	16	1	0	0	4	0	0	0	1	1	0	0	1	0	1	3	0	0	5	0	9	6	0	1	3	1	2	13	0	0	9	2	0	1	0	0	8	1	0	3	2	1	1	0	0	18	0	0	4	0	3	0	5	1	2	2	0	1	12	19	1	1	12	0	2	4	6	1	1	7	8	3	1	3	0	2	2	0	0	2	1	1	3	0	0	6	10	0	0	1	1	1	0	0	13	1	1	0	2	0	11	0	0	0	4	1	0	0	0	5	5	24	3	3	0	22	0	0	1	0	1	0	1	2	0	0	0	2	0	0	0	0	0	1	2	0	2	4	1	0	0	1	5	0	4	0	0	0	4	16	3	3	0	0	10	0	11	2	13	2	14	1	2	3	0	4	0	0
Latest from Crooks and Liars	1	0	0	1	0	1	0	1	1	2	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	3	0	0	1	1	1	1	0	0	0	5	0	1	1	0	1	2	1	0	0	5	0	0	4	0	0	2	0	1	0	2	3	0	3	0	4	0	1	0	0	0	6	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	7	1	0	0	0	0	0	0	5	0	0	1	0	0	0	4	1	0	1	2	0	0	0	1	2	1	0	4	0	0	0	1	0	1	0	1	0	1	0	2	1	0	0	0	3	1	2	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	1	1	0	1	2	0	3	0	0	1	3	8	0	1	1	5	0	2	3	0	0	0	0	0	3	0	0	4	0	0	0	0	1	0	0	2	1	0	1	0	1	3	0	0	0	1	0	0	2	7	0	2	1	1	0	0	8	0	0	0	0	1	1	1	5	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	1	0	1	0	1	0	2	0	0	3	0	0	1	1	1	2	0	0	0	0	0	1	1	0	0	0	2	0	1	3	1	2	0	0	0	18	0	0	1	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	0	1	2	3	2	7	0	2	1	0	4	1	0	0	2	0	0	0	0	0	1	0	1	0	1	3	0	1	0	0	0	2	2	1	1	4	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	2	1	0	0	0	0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	1	0	2	0	0	0	3	0	3	1	1	2	0	3	0	0	0	0	0	2	0	0	0	2	1	0	0	3	0	0	0	0	0	1	1	0	0	3	0	0	0	7	1	0	1	0	0	0	0	2	0	1	9	0	0	0	0	0	0	3	0	2	5	1	1	1	0	1	0	0	3	0	1	0	1	16	6	1	0	0	0	0	1	0	2	2	0	0	0	0	0	0	1	1	0	0	0	3	0	6	8	7	2	0	0	0	0	4	0	4	2	5	1	0	0	0	1	0	0
Publishing 2.0	0	1	2	7	0	0	0	0	2	1	6	1	2	0	0	8	0	1	0	0	0	0	3	1	3	0	1	5	1	0	6	1	5	1	0	0	0	2	1	0	0	2	0	2	1	0	4	1	1	2	1	21	0	1	0	0	3	4	6	0	0	4	2	4	2	1	0	0	0	6	0	2	0	0	0	0	5	0	0	1	0	3	0	3	4	0	1	0	0	2	2	0	1	1	0	2	2	2	0	5	1	0	6	3	0	6	0	0	1	2	0	1	14	0	6	1	1	0	5	0	1	2	0	2	0	0	2	0	5	2	0	3	0	0	1	4	1	0	1	0	6	0	1	1	22	1	3	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1	2	0	2	5	3	0	1	0	0	9	1	4	1	1	2	0	0	0	1	2	0	1	0	0	7	1	2	1	2	3	2	9	0	1	0	5	2	5	14	0	1	0	2	7	5	2	2	0	2	0	0	3	0	11	1	2	0	1	0	1	2	0	0	0	0	0	0	0	2	0	2	1	1	0	2	0	2	2	0	2	0	5	0	1	0	2	1	4	0	0	2	0	9	0	2	0	1	1	1	2	1	0	2	13	7	0	1	8	2	0	8	0	0	0	0	0	1	0	0	1	0	0	0	1	0	15	2	1	6	5	0	1	0	2	3	0	10	4	2	2	0	1	0	0	1	0	2	1	0	3	3	0	0	1	0	2	1	2	9	0	3	0	0	1	1	0	6	0	3	8	1	2	0	0	1	0	0	3	0	0	3	0	7	1	0	4	1	3	0	5	1	1	1	1	1	0	1	0	0	13	1	1	0	2	1	0	0	4	1	9	2	2	0	1	1	2	10	2	0	1	3	0	5	1	10	0	0	1	0	0	0	0	0	2	0	1	2	0	0	1	4	4	2	4	1	1	3	2	0	3	1	1	2	0	1	0	0	3	57	0	0	0	0	2	3	0	0	5	1	1	0	0	1	0	5	1	0	0	0	3	0	1	2	0	2	2	0	1	0	5	1	1	11	0	0	0	0	0	0	1	0	0	4	5	1	4	0	1	1	0	3	1	0	4	4	1	0	1	0	0	2	0	4	0	0	1	1	7	5	6	12	2	9	0	0	0	0	14	2	7	2	5	2	0	2	0	0	1	2
